"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","302","Создание заказа - получение кода 201 при создании заказа с цветом: ""BLACK"", ""GREY""","tests","2025-10-17","passed","2025-10-17","TestCreateOrder","test_create_order","",""
"","282","Логин курьера в системе - возврат корректного тела при логине с неподходящим паролем","tests","2025-10-17","passed","2025-10-17","TestLoginCourier","test_login_courier","",""
"","901","Логин курьера в системе - возврат кода 404 при логине с несуществующей парой","tests","2025-10-17","passed","2025-10-17","TestLoginCourier","test_login_courier","",""
"","583","Создание курьера - получение корректного тела ответа при создании курьера с существующим логином","tests","2025-10-17","passed","2025-10-17","TestCreateCourier","test_create_courier","",""
"","285","Логин курьера в системе - возврат кода 400 при логине без пароля","tests","2025-10-17","passed","2025-10-17","TestLoginCourier","test_login_courier","",""
"","305","Создание заказа - возврат корректного тела при создании заказа с корректными данными","tests","2025-10-17","passed","2025-10-17","TestCreateOrder","test_create_order","",""
"","606","Создание курьера - получение кода 409 при создании курьера с существующим логином","tests","2025-10-17","passed","2025-10-17","TestCreateCourier","test_create_courier","",""
"","7366","Получение списка заказов - возврат кода 200","tests","2025-10-17","passed","2025-10-17","TestCreateOrder","test_get_list_orders","",""
"","282","Создание курьера - получение кода 400 при создании курьера без пароля","tests","2025-10-17","passed","2025-10-17","TestCreateCourier","test_create_courier","",""
"","276","Логин курьера в системе - возврат кода 400 при логине без логина","tests","2025-10-17","passed","2025-10-17","TestLoginCourier","test_login_courier","",""
"","282","Создание курьера - получение корректного тела ответа при создании курьера без логина","tests","2025-10-17","passed","2025-10-17","TestCreateCourier","test_create_courier","",""
"","6113","Получение списка заказов - наличие ключа ""orders"" в теле ответа ","tests","2025-10-17","passed","2025-10-17","TestCreateOrder","test_get_list_orders","",""
"","290","Логин курьера в системе - возврат корректного тела при логине без пароля","tests","2025-10-17","passed","2025-10-17","TestLoginCourier","test_login_courier","",""
"","7405","Получение списка заказов - список по ключу ""orders"" в теле ответа не пустой ","tests","2025-10-17","passed","2025-10-17","TestCreateOrder","test_get_list_orders","",""
"","312","Создание заказа - получение кода 201 при создании заказа с цветом: ","tests","2025-10-17","passed","2025-10-17","TestCreateOrder","test_create_order","",""
"","280","Логин курьера в системе - возврат корректного тела при логине без логина","tests","2025-10-17","passed","2025-10-17","TestLoginCourier","test_login_courier","",""
"","280","Логин курьера в системе - возврат корректного тела при логине с несуществующей парой","tests","2025-10-17","passed","2025-10-17","TestLoginCourier","test_login_courier","",""
"","274","Создание курьера - получение корректного тела ответа при создании курьера без пароля","tests","2025-10-17","passed","2025-10-17","TestCreateCourier","test_create_courier","",""
"","632","Создание курьера - получение кода 409 при создании дубля курьера","tests","2025-10-17","passed","2025-10-17","TestCreateCourier","test_create_courier","",""
"","366","Создание курьера - получение корректного тела ответа при корректном запросе","tests","2025-10-17","passed","2025-10-17","TestCreateCourier","test_create_courier","",""
"","302","Логин курьера в системе - возврат кода 200 при логине с корректными данными","tests","2025-10-17","passed","2025-10-17","TestLoginCourier","test_login_courier","",""
"","581","Создание курьера - получение корректного тела ответа при создании дубля курьера","tests","2025-10-17","passed","2025-10-17","TestCreateCourier","test_create_courier","",""
"","300","Логин курьера в системе - возврат кода 404 при логине с неподходящим паролем","tests","2025-10-17","passed","2025-10-17","TestLoginCourier","test_login_courier","",""
"","307","Создание курьера - получение кода 400 при создании курьера без логина","tests","2025-10-17","passed","2025-10-17","TestCreateCourier","test_create_courier","",""
"","6545","Создание заказа - получение кода 201 при создании заказа с цветом: ""GREY""","tests","2025-10-17","passed","2025-10-17","TestCreateOrder","test_create_order","",""
"","321","Создание заказа - получение кода 201 при создании заказа с цветом: ""BLACK""","tests","2025-10-17","passed","2025-10-17","TestCreateOrder","test_create_order","",""
"","428","Создание курьера - получение кода 201 при корректном запросе","tests","2025-10-17","passed","2025-10-17","TestCreateCourier","test_create_courier","",""
"","290","Логин курьера в системе - возврат корректного тела при логине с корректными данными","tests","2025-10-17","passed","2025-10-17","TestLoginCourier","test_login_courier","",""
"","6498","Получение списка заказов - наличие списка по ключу ""orders"" в теле ответа ","tests","2025-10-17","passed","2025-10-17","TestCreateOrder","test_get_list_orders","",""
